연도,번호,구분,종목,업종,증권사,수요예측_경쟁률,밴드상단_초과비율,일반청약_경쟁률,의무확약비율_전,의무확약비율_후,유통주식수_비율,유통주식_비율_후,시가총액_억원,환매청구권,특이점,공모가,시초가,시초가_수익률,첫날_종가,종가_수익률,평균_매도가,수익률,수익금,세금_고려
2026,1,일반,덕양에너젠,가스 제조 및 배관공급,"NH, 미래",650.14,,1354.44,0.1438,0.6833,0.3232567513099557,0.1654,2481.0,,기존주주 비중 유통물량 대비 6%,10000.0,21050.0,1.105,34850.0,0.6555819477434679,21100.0,1.11,287489.0,
2026,2,일반,케이벵크,인터넷은행,"NH, 삼증, 신한",198.53,,134.59,0.1239,0.5095,0.3635,0.3356,33673.0,,,8300.0,9000.0,0.0843373493975903,8330.0,-0.0744444444444444,9710.0,0.1698795180722891,58310.0,
2026,3,일반,액스비스,고출력레이저,미래에셋,1124.21,,2711.06,0.757,0.9613,0.3305,0.1528,1073.0,,,11500.0,46000.0,3.0,46000.0,0.0,46950.0,3.082608695652174,353546.0,
2026,4,일반,에스팀,콘텐츠,한투,1334.91,,1950.4,0.4245,0.8293,0.3469,0.218,738.0,,,8500.0,30650.0,2.6058823529411765,34000.0,0.1092985318107667,33950.0,2.9941176470588236,203048.0,
2026,5,일반,카나프테라퓨틱스,바이오,한투,962.1,,1899.29,0.761,0.9539,0.4069,0.299112311848707,2591.0,,,20000.0,68100.0,2.405,50600.0,-0.2569750367107195,63200.0,2.16,388800.0,
2026,6,일반,아이엠바이오로직스,바이오,"한투, 신한",839.23,,1806.1,0.7601,0.9652,0.2382,0.1402915148360229,3842.0,,,26000.0,104000.0,3.0,104000.0,0.0,101400.0,2.9,451162.0,
2026,7,일반,메쥬,의료기기,신한투자,1108.93,,2428.25,0.754,0.9666,0.3296,0.2293,2099.0,,,21600.0,66000.0,2.0555555555555554,39000.0,-0.4090909090909091,66400.0,2.074074074074074,222716.0,
2026,8,일반,한패스,금융서비스,"한투, 대신",1172.59,,1672.64,0.2743,0.8297,0.3163,0.2516,2008.68,,,19000.0,37100.0,0.9526315789473684,27200.0,-0.2668463611859838,38000.0,1.0,94614.0,
2026,9,일반,리센스메디컬,의료기기,"KB, 한투",1352.63,,2097.68,0.639,0.9416,0.3169,0.2258,1194.0,유,환매청구권,11000.0,37600.0,2.418181818181818,18450.0,-0.5093085106382979,39050.0,2.55,83912.0,
2026,10,일반,인벤테라,,"NH, 유진",1328.82,,1913.44,0.4306,0.828,0.2987,0.2119,1305.0,,,16600.0,39150.0,1.358433734939759,35250.0,-0.0996168582375478,40250.0,1.4246987951807228,70709.0,
2026,11,일반,채비,전기차충전,"kb, 삼증, 대신, 하나",55.23,,302.0,0.0649,0.149,0.2526,0.2103,5754.0,,,12300.0,15250.0,0.2398373983739837,22550.0,0.4786885245901639,,,,
2026,12,일반,코스모로보틱스,로보틱스,"유진, nh, 유안타",1140.11,,2105.04,0.7303,0.9763,0.3206,0.232,1927.0,유,환매청구권,6000.0,23500.0,2.9166666666666665,24000.0,0.0212765957446808,23500.0,2.9166666666666665,191973.0,
2026,13,일반,폴레드,유아용품,nh투자,1486.66,,3169.86,0.6724,0.8612,0.2794,0.2120730738681493,1259.0,,,5000.0,20000.0,3.0,20000.0,0.0,22450.0,3.49,174051.0,
2026,14,일반,마키나락스,ai모델 개발,"미래에셋, 현대차",1196.08,,2807.79,0.7817,0.982,0.3948,0.2940326871911821,2631.0,,,15000.0,60000.0,3.0,60000.0,0.0,66000.0,3.4,457791.0,
2026,15,일반,피스피스스튜디오,봉제의복,"NH, 미래",847.76,,1191.94,0.0557,0.7455,0.4063,0.3164806303348654,3046.0,,,21500.0,32000.0,0.4883720930232558,13730.0,-0.5709375,32000.0,0.4883720930232558,10435.0,
2026,16,일반,져스텍,모터정밀제어,삼성증권,1294.99,,2783.89,0.472,0.792,0.2939,0.2176,1506.0,,,12500.0,35350.0,1.828,17530.0,-0.5041018387553041,36900.0,1.952,170275.0,
2026,17,일반,스트라드비젼,자율주행,kb증권,381.3,,45.83,0.0277,0.3303,0.4891,0.4557674273210378,6398.0,,공모가 하단,12000.0,11020.0,-0.0816666666666666,7200.0,-0.3466424682395644,,,,
