_row_id,종목,상장일,공모가,증권사,평균 매도가,수익금
"덕양에너젠||10000.0|NH, 미래",덕양에너젠,,10000,"NH, 미래",21100.0,287489.0
"케이벵크||8300.0|NH, 삼증, 신한",케이벵크,,8300,"NH, 삼증, 신한",9710.0,58310.0
액스비스||11500.0|미래에셋,액스비스,,11500,미래에셋,46950.0,353546.0
에스팀||8500.0|한투,에스팀,,8500,한투,33950.0,203048.0
카나프테라퓨틱스||20000.0|한투,카나프테라퓨틱스,,20000,한투,63200.0,388800.0
"아이엠바이오로직스||26000.0|한투, 신한",아이엠바이오로직스,,26000,"한투, 신한",101400.0,451162.0
메쥬||21600.0|신한투자,메쥬,,21600,신한투자,66400.0,222716.0
"한패스||19000.0|한투, 대신",한패스,,19000,"한투, 대신",38000.0,94614.0
"리센스메디컬||11000.0|KB, 한투",리센스메디컬,,11000,"KB, 한투",39050.0,83912.0
"인벤테라||16600.0|NH, 유진",인벤테라,,16600,"NH, 유진",40250.0,70709.0
"코스모로보틱스||6000.0|유진, nh, 유안타",코스모로보틱스,,6000,"유진, nh, 유안타",23500.0,191973.0
폴레드||5000.0|nh투자,폴레드,,5000,nh투자,22450.0,174051.0
"마키나락스||15000.0|미래에셋, 현대차",마키나락스,,15000,"미래에셋, 현대차",66000.0,457791.0
"피스피스스튜디오||21500.0|NH, 미래",피스피스스튜디오,,21500,"NH, 미래",32000.0,10435.0
져스텍||12500.0|삼성증권,져스텍,,12500,삼성증권,36900.0,170275.0
매드업||8000.0|미래에셋,매드업,,8000,미래에셋,21800.0,110046.0
삼성증권 spec13호||2000.0|삼성증권,삼성증권 spec13호,,2000,삼성증권,4890.0,89283.0
NH spec33호||2000.0|nh투자,NH spec33호,,2000,nh투자,3460.0,33421.0
신한제17호스팩||2000.0|신한투자,신한제17호스팩,,2000,신한투자,5760.0,119612.0
키움히어로스펙2호||2000.0|키움증권,키움히어로스펙2호,,2000,키움증권,4800.0,133910.0
신한스펙18호||2000.0|신한투자,신한스펙18호,,2000,신한투자,6180.0,120532.0
대신밸런스20호스펙||2000.0|대신증권,대신밸런스20호스펙,,2000,대신증권,5180.0,189566.0
메리츠스펙||2000.0|메리츠증권,메리츠스펙,,2000,메리츠증권,3900.0,147592.0
한투16호스펙||2000.0|한국투자,한투16호스펙,,2000,한국투자,4535.0,98895.0
